image_path,overlay_path,img_name,accepted,contour_version,brain_area_px,brain_perim_px,midline_area_left_px,midline_area_right_px,midline_perimeter_left_px,midline_perimeter_right_px,non_complete_contour,hipp_area_left_px,hipp_area_right_px,hipp_perimeter_left_px,hipp_perimeter_right_px,sex,dose
D:/data/input/TB_P28/Males/K11/TileScan 010_K11_5.tif,D:/data/output/TileScan 010_K11_5__hippocampus_overlay.png,TileScan 010_K11_5.tif,ok,single,5582690,12968.60963,2730749,2839354,6926.802289,6049.807341,FALSE,886776,776164,5584.708924,5744.608419,M,lps
D:/data/input/TB_P28/Males/K11/TileScan 008_K11_3.tif,D:/data/output/TileScan 008_K11_3__hippocampus_overlay.png,TileScan 008_K11_3.tif,ok,single,5577958,12958.703,2704030,2861025,6894.434758,6098.268237,FALSE,597808,632112,9086.041089,9277.271537,M,lps
D:/data/input/TB_P28/Males/M11/TileScan 016_M11_1.tif,D:/data/output/TileScan 016_M11_1__hippocampus_overlay.png,TileScan 016_M11_1.tif,ok,single,5329535,11158.01967,2666103,2651221,5524.817446,5626.758571,FALSE,621828,579740,5038.500773,4013.013404,M,sal
D:/data/input/TB_P28/Males/M11/TileScan 017_M11_2.tif,D:/data/output/TileScan 017_M11_2__hippocampus_overlay.png,TileScan 017_M11_2.tif,ok,single,5449498,11456.93136,2713143,2723982,5745.27329,5745.658066,FALSE,787868,727816,4743.706836,4305.983967,M,sal
D:/data/input/TB_P28/Males/M11/TileScan 018_M11_3.tif,D:/data/output/TileScan 018_M11_3__hippocampus_overlay.png,TileScan 018_M11_3.tif,ok,single,5471800,12110.49484,2725741,2746059,6113.226607,6182.48144,FALSE,878432,807080,4943.890602,4636.777904,M,sal
D:/data/input/TB_P28/Males/M11/TileScan 020_M11_5.tif,D:/data/output/TileScan 020_M11_5__hippocampus_overlay.png,TileScan 020_M11_5.tif,ok,single,5599798,12117.38929,2774227,2812510,6115.623576,6001.765711,FALSE,554888,693864,5340.383025,5049.823105,M,sal
D:/data/input/TB_P28/Males/K10/TileScan 001_K10_1.tif,D:/data/output/TileScan 001_K10_1__hippocampus_overlay.png,TileScan 001_K10_1.tif,ok,single,4999214,10543.16577,2489691,2499201,5302.0423,5307.99353,FALSE,505204,464492,3792.444863,3463.190029,M,sal
D:/data/input/TB_P28/Males/N07/TileScan 005_N07_1.tif,D:/data/output/TileScan 005_N07_1__hippocampus_overlay.png,TileScan 005_N07_1.tif,ok,single,5735361,11517.59636,2846200,2877972,5767.534722,5824.245399,FALSE,557588,585312,3820.042842,4053.030649,M,lps
D:/data/input/TB_P28/Males/N07/TileScan 007_N07_3.tif,D:/data/output/TileScan 007_N07_3__hippocampus_overlay.png,TileScan 007_N07_3.tif,ok,single,5809065,12414.69895,2880905,2915901,6165.110404,6803.70333,FALSE,754580,830728,4760.576893,4940.091612,M,lps
D:/data/input/TB_P28/Males/N07/TileScan 008_N07_4.tif,D:/data/output/TileScan 008_N07_4__hippocampus_overlay.png,TileScan 008_N07_4.tif,ok,single,5855613,12067.06648,2892469,2950967,6553.083054,5523.012863,FALSE,834720,889280,5032.559648,5166.736274,M,lps
D:/data/input/TB_P28/Males/N07/TileScan 009_N07_5.tif,D:/data/output/TileScan 009_N07_5__hippocampus_overlay.png,TileScan 009_N07_5.tif,ok,single,5864147,12779.35493,2911312,2940123,6093.193664,6861.759241,FALSE,898848,939524,5417.897742,5621.412461,M,lps
D:/data/input/TB_P28/Males/N07/TileScan 006_N07_2.tif,D:/data/output/TileScan 006_N07_2__hippocampus_overlay.png,TileScan 006_N07_2.tif,ok,single,5700042,11658.75782,2832368,2855898,5939.110404,5859.907305,FALSE,644208,694264,4162.001212,4441.19717,M,lps
D:/data/input/TB_P28/Males/O11/TileScan 010_O11_1.tif,D:/data/output/TileScan 010_O11_1__hippocampus_overlay.png,TileScan 010_O11_1.tif,ok,single,5532791,11087.74145,2785498,2736371,5677.101175,5619.478811,FALSE,620768,608448,3919.942336,3944.912899,M,sal
D:/data/input/TB_P28/Males/O11/TileScan 011_O11_2.tif,D:/data/output/TileScan 011_O11_2__hippocampus_overlay.png,TileScan 011_O11_2.tif,ok,single,5632599,11043.99124,2846121,2776837,5420.498144,5690.363149,FALSE,729356,714740,4424.209362,4463.523071,M,sal
D:/data/input/TB_P28/Males/O11/TileScan 012_O11_3.tif,D:/data/output/TileScan 012_O11_3__hippocampus_overlay.png,TileScan 012_O11_3.tif,ok,single,5740732,13044.64425,2913785,2816910,6112.926638,7713.354256,TRUE,849096,842920,4973.530211,4859.103805,M,sal
D:/data/input/TB_P28/Males/O11/TileScan 013_O11_4.tif,D:/data/output/TileScan 013_O11_4__hippocampus_overlay.png,TileScan 013_O11_4.tif,ok,single,5793529,11847.21872,2915976,2868124,6022.054493,5962.831185,FALSE,904324,914236,5360.039877,5762.951565,M,sal
D:/data/input/TB_P28/Males/O11/TileScan 014_O11_5.tif,D:/data/output/TileScan 014_O11_5__hippocampus_overlay.png,TileScan 014_O11_5.tif,ok,single,5734681,12731.4584,2883312,2838820,6370.45355,6804.075914,FALSE,989040,947944,5871.738362,5887.721117,M,sal
D:/data/input/TB_P28/Males/U05/TileScan 001_000_U05_3.tif,D:/data/output/TileScan 001_000_U05_3__hippocampus_overlay.png,TileScan 001_000_U05_3.tif,ok,single,5875363,12362.16907,2958436,2905758,6272.531757,6366.188612,FALSE,845844,832656,4920.861164,4955.589086,M,lps
D:/data/input/TB_P28/Males/U05/TileScan 001_U05_1.tif,D:/data/output/TileScan 001_U05_1__hippocampus_overlay.png,TileScan 001_U05_1.tif,ok,single,5594429,11410.32428,2821913,2760433,5670.865675,5866.370289,FALSE,606884,594004,4032.243852,3961.214415,M,lps
D:/data/input/TB_P28/Males/U05/TileScan 002_U05_2.tif,D:/data/output/TileScan 002_U05_2__hippocampus_overlay.png,TileScan 002_U05_2.tif,ok,single,5861398,11780.85833,2953501,2895492,5782.213873,6525.029231,FALSE,782636,735048,4582.167732,4487.925092,M,lps
D:/data/input/TB_P28/Males/U05/TileScan 003_U05_4.tif,D:/data/output/TileScan 003_U05_4__hippocampus_overlay.png,TileScan 003_U05_4.tif,ok,single,5923609,12792.31835,2997803,2915739,6289.50232,6798.681033,FALSE,950284,897988,5366.400268,5388.525159,M,lps
D:/data/input/TB_P28/Males/U05/TileScan 004_U05_5.tif,D:/data/output/TileScan 004_U05_5__hippocampus_overlay.png,TileScan 004_U05_5.tif,ok,single,5897675,12977.84735,2968795,2916835,6680.705418,7048.210032,FALSE,987264,973972,5722.917075,5707.939372,M,lps
D:/data/input/TB_P28/Males/W07/TileScan 010_W07_1.tif,D:/data/output/TileScan 010_W07_1__hippocampus_overlay.png,TileScan 010_W07_1.tif,ok,single,5767363,11360.18511,2887283,2869185,5600.775275,5904.221014,FALSE,638452,582676,4013.030649,3878.971774,M,sal
D:/data/input/TB_P28/Males/W07/TileScan 011_W07_2.tif,D:/data/output/TileScan 011_W07_2__hippocampus_overlay.png,TileScan 011_W07_2.tif,ok,single,5743354,11425.93236,2861562,2870051,5639.770222,5887.274836,FALSE,758920,678560,4430.268237,4257.113909,M,sal
D:/data/input/TB_P28/Males/W07/TileScan 012_W07_3.tif,D:/data/output/TileScan 012_W07_3__hippocampus_overlay.png,TileScan 012_W07_3.tif,ok,single,5872573,11645.2431,2943793,2917851,5811.77231,6090.992653,FALSE,861104,798972,4944.660154,4654.736274,M,sal
D:/data/input/TB_P28/Males/W07/TileScan 013_W07_4.tif,D:/data/output/TileScan 013_W07_4__hippocampus_overlay.png,TileScan 013_W07_4.tif,ok,single,5836585,11975.63502,2922470,2903205,5975.961128,6193.129737,FALSE,924772,874100,5186.584034,5017.24594,M,sal
D:/data/input/TB_P28/Males/W07/TileScan 014_W07_5.tif,D:/data/output/TileScan 014_W07_5__hippocampus_overlay.png,TileScan 014_W07_5.tif,ok,single,5857099,13356.3814,2935839,2907387,6456.159174,7083.761329,FALSE,985736,913120,5468.324148,5342.96881,M,sal
